PO_NUMBER,PO_REVISION_NUM,PO_DATE,PO_STATUS,PO_APPROVED_DATE,PO_REVISION_NUMBER,PO_VENDOR_NAME,PO_SHIP_LOCATION_CODE,PO_SHIP_ADDRESS_1,PO_SHIP_ADDRESS_2,PO_SHIP_ADDRESS_3,PO_SHIP_CITY,PO_SHIP_STATE,PO_SHIP_ZIP,PO_SHIP_COUNTRY,PO_VENDOR_CREATION_DATE,PO_REVISION_DATE,PO_PROMISE_DATE,PO_NEED_BY_DATE,PO_CREATED_BY,PO_BUYER_NAME,PO_LAST_UPDATE_DATE,PO_LINE_NUM,PO_LINE_LOCATION_ID,PO_QTY_ORDERED,PO_QTY_DELIVERED,PO_QTY_CANCEL,PO_AMT_INVOICED,PO_UNIT_PRICE,PO_LINE_LOCATION_STATUS,PO_HEADER_ID,PO_VENDOR_ID,PO_LINE_ID,PART_NUMBER,PART_DESCRIPTION,UNIT_OF_MEASURE,TRACKING_SHIPPING_DATE,TRACKING_UPDATE_DATE,PO_ORIGINAL_PROMISED_DATE,PO_TYPE,QUANTITY_RECEIVED,ESTIMATED_DELIVERED_DATE,PROMISED_DATE_CREATION_DATE,SALES_ORDER_NUMBER,VERIFICATION_DATE,PROMISE_DATE_UPDATE_DETAILS,PROMISE_DATE_ISSUES,PO_SHIPMENT_TYPE,ITEM_TYPE,CLIN,PO_SHIPMENT_NUM
1339887,12,2023-12-04 00:00:00,APPROVED CLOSED,2025-03-06 00:00:00,12,DRAEGER  INC,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2016-05-10 00:00:00,2025-03-06 00:00:00,2024-04-08 00:00:00,2024-04-22 00:00:00,MDALEY,"MORIN-WRIGHT, ALISON",2025-03-06 00:00:00,2,6592855,10,10,0,2922.7,292.27,CLOSED,4828795,3538482,6074682,4043119,RUBBER MOUTH PIECE PKG OF 5,Each,1Z1F87060344730617,24-JAN-25,2024-04-08 00:00:00,STANDARD,10,,2023-12-05 00:00:00,1146850,,,,INTERNAL,P,,2.1.1
1339887,12,2023-12-04 00:00:00,APPROVED CLOSED,2025-03-06 00:00:00,12,DRAEGER  INC,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2016-05-10 00:00:00,2025-03-06 00:00:00,2025-01-27 00:00:00,2024-03-25 00:00:00,MDALEY,"MORIN-WRIGHT, ALISON",2025-03-06 00:00:00,1,6592856,41,41,0,650.26,15.86,CLOSED,4828795,3538482,6074681,4043048,HARNESS CYLINDER/CANISTEER MOD,Each,,,2024-04-08 00:00:00,STANDARD,41,,2023-12-05 00:00:00,1146852,,"ONLY 41 AVAILABLE, AND VENDOR CANNOT SUPPLY REMAINING BALANCE. REQUESTED DETAILS FOR POSSIBLE ALTERNATE.",SUPPLIER ISSUE,INTERNAL,P,,1.1.1
1339887,12,2023-12-04 00:00:00,APPROVED CLOSED,2025-03-06 00:00:00,12,DRAEGER  INC,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2016-05-10 00:00:00,2025-03-06 00:00:00,2024-06-05 00:00:00,2024-04-22 00:00:00,MDALEY,"MORIN-WRIGHT, ALISON",2025-03-06 00:00:00,4,6592853,24,24,0,4004.88,166.87,CLOSED,4828795,3538482,6074684,4043131,HOSE CLIP PKG OF 10,Each,1Z1F87060345921687,24-JAN-25,2024-04-08 00:00:00,STANDARD,24,,2023-12-05 00:00:00,1146847,,,,INTERNAL,P,,4.1.1
1339887,12,2023-12-04 00:00:00,APPROVED CLOSED,2025-03-06 00:00:00,12,DRAEGER  INC,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2016-05-10 00:00:00,2025-03-06 00:00:00,2024-06-06 00:00:00,2024-04-22 00:00:00,MDALEY,"MORIN-WRIGHT, ALISON",2025-03-06 00:00:00,3,6592854,1,1,0,1278.96,1278.96,CLOSED,4828795,3538482,6074683,4058744,CASE  TRANSPORT  HARDIGG  LARV,Each,1ZX0488W0352657403,24-JAN-25,2024-04-08 00:00:00,STANDARD,1,,2023-12-05 00:00:00,1146849,,,,INTERNAL,P,,3.1.1
1428451,0,2025-02-07 00:00:00,APPROVED CLOSED,2025-02-07 00:00:00,0,LOWA BOOTS LLC,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2006-07-01 00:00:00,,2025-04-08 00:00:00,2035-12-31 00:00:00,ABARNES,"BARNES, ANDREW",2025-02-13 00:00:00,1,8307049,1,1,0,129.25,129.25,CLOSED,6360155,14575,7675419,3105370731-11.5,ZEPHYR GTX MID TF; COYOTE; SIZE 11.5,Each,,,2025-04-08 00:00:00,STANDARD,1,,2025-02-10 00:00:00,1251568,,,,INTERNAL,P,,1.1.1
1413097,2,2024-10-31 00:00:00,APPROVED CLOSED,2025-02-07 00:00:00,2,TRUE NORTH ENTERPRISES  LLC,NSWCDD INTEGRATED COMBAT SYSTEMS,5409 1ST ST BLDG 1523,SUITE 137,NAVAL SURFACE WARFARE CENTER DAHLGREN LAB ENGINEERING  INTEGRATION & OPERATIONS BRANCH INTEGRATED WARFARE SYSTEMS LAB (IWSL),DAHLGREN,VA,22448-5148,US,2009-05-22 00:00:00,2025-02-07 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,LWATERMAN,"WATERMAN, LYNN",2025-02-10 00:00:00,1,7639908,1,1,0,88960,88960,CLOSED,5725125,1025380,6995349,TNE-RCTSP-MODEI-1025380,RCT SPARES MODULE EI,Each,Ward PRO# 0280828432,07-FEB-25,2025-02-06 00:00:00,STANDARD,1,2025-02-13 00:00:00,2024-12-02 00:00:00,1231862,,,,EXTERNAL,P,0001,1.1.1
1393848,2,2024-08-07 00:00:00,APPROVED CLOSED,2025-07-11 00:00:00,2,INVISIO COMMUNICATIONS  INC.,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2017-06-14 00:00:00,2025-07-11 00:00:00,2025-03-21 00:00:00,2025-02-10 00:00:00,NLUDWIG,"LUDWIG, NOAH",2025-07-15 00:00:00,8,7345567,400,400,0,349524,873.81,CLOSED,5492453,3844484,6736032,RA5001/1/0025-3844484,RA5001 RAPTOR HEADSET; MONAURAL,Each,,,2025-03-21 00:00:00,STANDARD,400,,2024-09-10 00:00:00,1206711,,,,INTERNAL,P,,8.1.1
1393848,2,2024-08-07 00:00:00,APPROVED CLOSED,2025-07-11 00:00:00,2,INVISIO COMMUNICATIONS  INC.,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2017-06-14 00:00:00,2025-07-11 00:00:00,2024-12-13 00:00:00,2024-11-14 00:00:00,NLUDWIG,"LUDWIG, NOAH",2025-07-15 00:00:00,11,7345563,3000,3000,0,2621430,873.81,CLOSED,5492453,3844484,6736035,RA5001/1/0025-3844484,RA5001 RAPTOR HEADSET; MONAURAL,Each,,,2024-12-13 00:00:00,STANDARD,3000,,2024-09-10 00:00:00,1206711,,,,INTERNAL,P,,11.1.1
1393848,2,2024-08-07 00:00:00,APPROVED CLOSED,2025-07-11 00:00:00,2,INVISIO COMMUNICATIONS  INC.,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2017-06-14 00:00:00,2025-07-11 00:00:00,2025-05-28 00:00:00,2025-01-20 00:00:00,NLUDWIG,"LUDWIG, NOAH",2025-07-15 00:00:00,13,7345566,400,400,0,349524,873.81,CLOSED,5492453,3844484,6736037,RA5001/1/0025-3844484,RA5001 RAPTOR HEADSET; MONAURAL,Each,,,2025-05-28 00:00:00,STANDARD,400,,2024-09-10 00:00:00,1206711,,,,INTERNAL,P,,13.1.1
1393848,2,2024-08-07 00:00:00,APPROVED CLOSED,2025-07-11 00:00:00,2,INVISIO COMMUNICATIONS  INC.,ADS AVIATOR-1 WAREHOUSE AVA,2505 AVIATOR DR,,,VIRGINIA BEACH,VA,23453-3152,US,2017-06-14 00:00:00,2025-07-11 00:00:00,2025-01-17 00:00:00,2024-12-27 00:00:00,NLUDWIG,"LUDWIG, NOAH",2025-07-15 00:00:00,3,7345562,260,260,0,599461.2,2305.62,CLOSED,5492453,3844484,6736027,INV24334-3844484,RA4000 BLACK NECKBAND; HELMET LINER; BOOM MIC; VIC3 MONAURAL S/M,Each,,,2025-01-17 00:00:00,STANDARD,260,,2024-09-10 00:00:00,1206711,,,,INTERNAL,P,,3.1.1
